Total_Income,Total_Food_Expenditure,Restaurant_and_hotels_Expenditure,Alcoholic_Beverages_and_Tobacco_Expenditure,Clothing_Footwear_and_Other_Wear_Expenditure,House_Rent__Water_and_Electricity_Expenditure,Medical_Care_Expenditure,Transportation_Expenditure,Communication_Expenditure,Education_Expenditure,Miscellaneous_Goods_and_Services_Expenditure,Total_Expenses,Savings
141118.0,226452.0,0.0,6127.0,7080.0,15468.0,360.0,1680.0,1008.0,0.0,5976.0,264151.0,-123033.0
141448.0,180064.0,17140.0,573.0,2445.0,17040.0,148.0,11040.0,540.0,700.0,7572.0,237262.0,-95814.0
144437.0,196770.0,9700.0,318.0,4360.0,18576.0,460.0,8640.0,1380.0,1800.0,5394.0,247398.0,-102961.0
291776.0,151071.0,1600.0,0.0,4079.0,42630.0,21720.0,3840.0,780.0,0.0,10758.0,236478.0,55298.0
148630.0,192271.0,9665.0,4153.0,4010.0,16236.0,470.0,8880.0,540.0,6830.0,8076.0,251131.0,-102501.0
153305.0,213504.0,18840.0,7768.0,7370.0,13848.0,120.0,12540.0,0.0,8160.0,5904.0,288054.0,-134749.0
104245.0,130974.0,3920.0,8964.0,2950.0,13872.0,150.0,2940.0,750.0,1450.0,6354.0,172324.0,-68079.0
144684.0,167050.0,6310.0,533.0,7070.0,13308.0,230.0,5460.0,1500.0,2500.0,9480.0,213441.0,-68757.0
164255.0,140602.0,15460.0,11322.0,5515.0,41400.0,1545.0,9360.0,2880.0,3150.0,5832.0,237066.0,-72811.0
189364.0,245435.0,33620.0,2170.0,8045.0,40638.0,2778.0,19860.0,3456.0,13400.0,9504.0,378906.0,-189542.0
41138.0,50196.0,0.0,0.0,1220.0,10902.0,130.0,360.0,0.0,0.0,528.0,63336.0,-22198.0
396594.0,248234.0,13885.0,291.0,4385.0,17976.0,738.0,15180.0,1560.0,370.0,5838.0,308457.0,88137.0
269740.0,242835.0,5520.0,9296.0,8270.0,31788.0,240.0,17160.0,1620.0,410.0,7860.0,324999.0,-55259.0
81836.0,136398.0,3355.0,2010.0,4390.0,15564.0,170.0,1200.0,450.0,0.0,3804.0,167341.0,-85505.0
135385.0,205359.0,3720.0,4274.0,4760.0,20352.0,510.0,1260.0,0.0,239.0,5736.0,246210.0,-110825.0
92955.0,128077.0,0.0,1410.0,3310.0,56382.0,165.0,2820.0,3000.0,0.0,6006.0,201170.0,-108215.0
281750.0,210675.0,12690.0,3660.0,8970.0,105960.0,295.0,4176.0,3480.0,15185.0,5562.0,370653.0,-88903.0
207407.0,183564.0,0.0,1170.0,3260.0,41466.0,84.0,1680.0,2160.0,0.0,7902.0,241286.0,-33879.0
148600.0,211879.0,14515.0,0.0,3810.0,24240.0,163.0,1560.0,3240.0,1400.0,7722.0,268529.0,-119929.0
159263.0,207612.0,6675.0,1580.0,2880.0,19122.0,229.0,780.0,1800.0,150.0,5766.0,246594.0,-87331.0
